,district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,year
96,BRANSON REORGANIZED 82,LAS ANIMAS,2136497,1270103,9720,0,3416320,4896.0,2910.0,22.0,0.0,7828.0,2010
97,KIM REORGANIZED 88,LAS ANIMAS,604028,541883,0,0,1145911,10597.0,9507.0,0.0,0.0,20104.0,2010
98,GENOA-HUGO C-113,LINCOLN,1273861,1059313,5173,123401,2461748,7458.0,6202.0,30.0,722.0,14413.0,2010
99,LIMON RE-4J,LINCOLN,2579260,1632118,282,638962,4850622,5583.0,3533.0,1.0,1383.0,10499.0,2010
100,KARVAL RE-23,LINCOLN,1049533,841421,0,45804,1936758,4503.0,3610.0,0.0,196.0,8309.0,2010
101,VALLEY RE-1,LOGAN,11831259,8373078,79958,1941903,22226197,5063.0,3583.0,34.0,831.0,9511.0,2010
102,FRENCHMAN RE-3,LOGAN,1517818,1005411,0,196874,2720103,8078.0,5351.0,0.0,1048.0,14476.0,2010
103,BUFFALO RE-4,LOGAN,1815186,1346914,0,161114,3323214,5880.0,4363.0,0.0,522.0,10765.0,2010
104,PLATEAU RE-5,LOGAN,1383907,1124767,0,94563,2603237,8590.0,6982.0,0.0,587.0,16159.0,2010
105,DE BEQUE 49JT,MESA,1055154,765557,0,268824,2089535,7674.0,5568.0,0.0,1955.0,15197.0,2010
106,PLATEAU VALLEY 50,MESA,2377474,1544894,0,417381,4339749,5125.0,3330.0,0.0,900.0,9355.0,2010
107,MESA COUNTY VALLEY 51,MESA,110888342,68180574,335939,30507658,209912512,5274.0,3243.0,16.0,1451.0,9984.0,2010
108,CREEDE CONSOLIDATED 1,MINERAL,1098261,683583,0,31108,1812953,10381.0,6461.0,0.0,294.0,17136.0,2010
109,MOFFAT COUNTY RE:NO 1,MOFFAT,13807210,8544652,0,3057069,25408930,6090.0,3769.0,0.0,1348.0,11207.0,2010
110,MONTEZUMA-CORTEZ RE-1,MONTEZUMA,14244343,12057921,500,248679,26551443,4957.0,4196.0,0.0,87.0,9240.0,2010
111,DOLORES RE-4A,MONTEZUMA,3423483,2376541,478,387710,6188212,5150.0,3575.0,1.0,583.0,9308.0,2010
112,MANCOS RE-6,MONTEZUMA,1992988,2076534,-158,184455,4253819,5330.0,5554.0,0.0,493.0,11377.0,2010
113,MONTROSE COUNTY RE-1J,MONTROSE,29236992,20160783,591669,3270430,53259874,4813.0,3319.0,97.0,538.0,8768.0,2010
114,WEST END RE-2,MONTROSE,1723647,2078211,305,106793,3908957,5477.0,6604.0,1.0,339.0,12421.0,2010
115,BRUSH RE-2J,MORGAN,7385027,5080700,0,1127769,13593496,5111.0,3516.0,0.0,781.0,9408.0,2010
116,FORT MORGAN RE-3,MORGAN,14253963,12320339,332222,2826542,29733067,4746.0,4102.0,111.0,941.0,9900.0,2010
117,WELDON VALLEY RE-20J,MORGAN,1450791,867092,25540,148469,2491892,7218.0,4314.0,127.0,739.0,12397.0,2010
118,WIGGINS RE-50J,MORGAN,2704561,1844163,0,420834,4969558,5297.0,3612.0,0.0,824.0,9733.0,2010
119,EAST OTERO R-1,OTERO,7295150,5459713,199384,1332193,14286440,5343.0,3999.0,146.0,976.0,10464.0,2010
120,ROCKY FORD R-2,OTERO,4645716,3519313,22537,6000,8193567,5719.0,4333.0,28.0,7.0,10087.0,2010
121,MANZANOLA 3J,OTERO,1312280,1450115,3527,830499,3596421,7132.0,7881.0,19.0,4514.0,19546.0,2010
