district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil
ELBERT 200,ELBERT,1524465,1074631,0,41766,2640861, 6855 , 4832 , 0 , 188 , 11874 
AGATE 300,ELBERT,314589,411232,0,8548,734369, 6869 , 8979 , 0 , 187 , 16034 
CALHAN RJ-1,EL PASO,2676570,1947394,0,173776,4797740, 5159 , 3754 , 0 , 335 , 9248 
HARRISON 2,EL PASO,50347660,40640718,95971,11878043,102962393, 4862 , 3925 , 9 , 1147 , 9943 
WIDEFIELD 3,EL PASO,39394071,27862135,1308042,4477352,73041601, 4592 , 3248 , 152 , 522 , 8515 
FOUNTAIN 8,EL PASO,37719632,26830998,148183,12142176,76840989, 5233 , 3722 , 21 , 1684 , 10660 
COLORADO SPRINGS 11,EL PASO,156732194,102662745,1003119,34424388,294822446, 5565 , 3645 , 36 , 1222 , 10468 
CHEYENNE MOUNTAIN 12,EL PASO,21842315,13852462,42498,20393418,56130692, 4958 , 3144 , 10 , 4629 , 12742 
MANITOU SPRINGS 14,EL PASO,8039117,5757298,2849,717546,14516809, 5604 , 4013 , 2 , 500 , 10120 
ACADEMY 20,EL PASO,116364214,76150859,330635,66681893,259527602, 5186 , 3394 , 15 , 2972 , 11566 
ELLICOTT 22,EL PASO,4256775,3570723,0,3025088,10852586, 4518 , 3790 , 0 , 3211 , 11518 
PEYTON 23 JT,EL PASO,2845645,2350101,0,3671771,8867518, 4388 , 3624 , 0 , 5662 , 13674 
HANOVER 28,EL PASO,1436044,1314951,0,802486,3553481, 6019 , 5511 , 0 , 3363 , 14893 
LEWIS-PALMER 38,EL PASO,26035998,20808353,354374,49752252,96950978, 4594 , 3671 , 63 , 8778 , 17106 
FALCON 49,EL PASO,56585096,46100349,11710,17599959,120297114, 3962 , 3227 , 1 , 1232 , 8422 
EDISON 54 JT,EL PASO,1143831,970218,0,50366,2164415, 6223 , 5279 , 0 , 274 , 11776 
MIAMI/YODER 60 JT,EL PASO,1646851,1384654,0,261072,3292577, 5391 , 4532 , 0 , 855 , 10778 
CANON CITY RE-1,FREMONT,17833015,12329770,175758,10460152,40798696, 4723 , 3265 , 47 , 2770 , 10805 
FLORENCE RE-2,FREMONT,7250914,5837218,140006,7400446,20628585, 4446 , 3579 , 86 , 4538 , 12649 
COTOPAXI RE-3,FREMONT,1311048,1107051,0,224660,2642760, 6312 , 5330 , 0 , 1082 , 12724 
ROARING FORK RE-1,GARFIELD,31287549,16206256,0,88344174,135837979, 6095 , 3157 , 0 , 17211 , 26464 
GARFIELD RE-2,GARFIELD,21218663,19223011,16115,29319320,69777109, 4684 , 4243 , 4 , 6472 , 15402 
GARFIELD 16,GARFIELD,5454157,5302420,0,5151493,15908070, 4730 , 4598 , 0 , 4467 , 13795 
GILPIN COUNTY RE-1,GILPIN,2375462,2292190,0,1841714,6509366, 7177 , 6925 , 0 , 5564 , 19666 
WEST GRAND 1-JT.,GRAND,2750490,2283555,11742,884543,5930330, 6157 , 5112 , 26 , 1980 , 13276 
EAST GRAND 2,GRAND,7257329,5706296,4136,10626927,23594688, 5576 , 4384 , 3 , 8165 , 18127 
GUNNISON WATERSHED RE1J,GUNNISON,9551912,6088434,626,5185131,20826103, 5541 , 3532 , 0 , 3008 , 12080 
HINSDALE COUNTY RE 1,HINSDALE,806946,615043,6425,101294,1529708, 9793 , 7464 , 78 , 1229 , 18564 
HUERFANO RE-1,HUERFANO,2784726,2541904,0,5437592,10764222, 4857 , 4434 , 0 , 9485 , 18776 
LA VETA RE-2,HUERFANO,1405165,1240026,0,318191,2963382, 6002 , 5297 , 0 , 1359 , 12659 
NORTH PARK R-1,JACKSON,1533359,1156026,0,388,2689773, 8152 , 6146 , 0 , 2 , 14300 
JEFFERSON COUNTY R-1,JEFFERSON,431165045,289496883,176792,128140153,848978872, 5322 , 3573 , 2 , 1582 , 10478 
EADS RE-1,KIOWA,1246047,887395,0,22922,2156364, 7088 , 5048 , 0 , 130 , 12266 
PLAINVIEW RE-2,KIOWA,624962,584719,0,0,1209681, 7901 , 7392 , 0 , 0 , 15293 
ARRIBA-FLAGLER C-20,KIT CARSON,1185567,867428,4923,125178,2183096, 7909 , 5787 , 33 , 835 , 14564 
HI PLAINS R-23,KIT CARSON,922268,788240,0,32985,1743493, 7883 , 6737 , 0 , 282 , 14902 
STRATTON R-4,KIT CARSON,1342544,1022635,0,28087,2393265, 7336 , 5588 , 0 , 153 , 13078 
BETHUNE R-5,KIT CARSON,1167087,844353,0,100,2011541, 9621 , 6961 , 0 , 1 , 16583 
BURLINGTON RE-6J,KIT CARSON,3683266,2456917,27204,550869,6718256, 5006 , 3339 , 37 , 749 , 9131 
LAKE COUNTY R-1,LAKE,5941246,4792777,818255,865817,12418094, 5458 , 4403 , 752 , 795 , 11408 
DURANGO 9-R,LA PLATA,24173539,16460438,181173,28142976,68958126, 5440 , 3704 , 41 , 6333 , 15518 
BAYFIELD 10 JT-R,LA PLATA,6115310,4962845,0,2707143,13785298, 4622 , 3751 , 0 , 2046 , 10418 
IGNACIO 11 JT,LA PLATA,5057006,4494904,496,1913360,11465765, 6566 , 5836 , 1 , 2484 , 14887 
POUDRE R-1,LARIMER,136165012,110123060,474289,57170841,303933202, 5235 , 4233 , 18 , 2198 , 11684 
THOMPSON R-2J,LARIMER,72582278,57124467,1271536,112663428,243641709, 4947 , 3893 , 87 , 7678 , 16605 
PARK ESTES PARK R-3,LARIMER,6470362,5226162,0,10935304,22631828, 5745 , 4641 , 0 , 9710 , 20096 
TRINIDAD 1,LAS ANIMAS,6885216,5774670,1788,533950,13195623, 4795 , 4022 , 1 , 372 , 9190 
PRIMERO REORGANIZED 2,LAS ANIMAS,1453629,1524788,0,1372821,4351238, 7330 , 7689 , 0 , 6923 , 21943 
HOEHNE REORGANIZED 3,LAS ANIMAS,1332956,1407758,0,288931,3029645, 3948 , 4170 , 0 , 856 , 8974 
AGUILAR REORGANIZED 6,LAS ANIMAS,1022003,971991,0,85148,2079142, 9232 , 8780 , 0 , 769 , 18782 
BRANSON REORGANIZED 82,LAS ANIMAS,1894160,1121924,9102,0,3025186, 4368 , 2587 , 21 , 0 , 6977 
KIM REORGANIZED 88,LAS ANIMAS,523570,625783,0,0,1149352, 9434 , 11275 , 0 , 0 , 20709 
GENOA-HUGO C-113,LINCOLN,1274156,925712,0,128678,2328546, 7625 , 5540 , 0 , 770 , 13935 
LIMON RE-4J,LINCOLN,2356132,1531066,321,256916,4144434, 5218 , 3391 , 1 , 569 , 9179 
KARVAL RE-23,LINCOLN,1014434,924198,0,0,1938632, 5075 , 4623 , 0 , 0 , 9698 
VALLEY RE-1,LOGAN,11715436,7949587,57923,12074093,31797039, 5092 , 3455 , 25 , 5248 , 13821 
FRENCHMAN RE-3,LOGAN,1438512,842803,0,40889,2322204, 7992 , 4682 , 0 , 227 , 12901 
BUFFALO RE-4,LOGAN,1824249,1289719,0,158317,3272285, 5923 , 4187 , 0 , 514 , 10624 
PLATEAU RE-5,LOGAN,1434456,1065607,0,1256041,3756105, 8340 , 6195 , 0 , 7303 , 21838 
DE BEQUE 49JT,MESA,973758,767416,0,268083,2009257, 7796 , 6144 , 0 , 2146 , 16087 
PLATEAU VALLEY 50,MESA,2175177,1578288,0,3098662,6852126, 4700 , 3410 , 0 , 6695 , 14806 
MESA COUNTY VALLEY 51,MESA,104127883,63213991,349433,104737817,272429124, 4967 , 3015 , 17 , 4996 , 12995 
CREEDE CONSOLIDATED 1,MINERAL,890961,661968,0,101920,1654849, 9119 , 6776 , 0 , 1043 , 16938 
MOFFAT COUNTY RE:NO 1,MOFFAT,12551427,9996576,0,2730212,25278215, 5642 , 4493 , 0 , 1227 , 11362 
MONTEZUMA-CORTEZ RE-1,MONTEZUMA,13210044,11424213,500,550905,25185661, 4678 , 4045 , 0 , 195 , 8918 
DOLORES RE-4A,MONTEZUMA,3463090,2255107,0,325857,6044054, 5207 , 3391 , 0 , 490 , 9087 
MANCOS RE-6,MONTEZUMA,1986889,1714469,0,212983,3914340, 5409 , 4668 , 0 , 580 , 10657 
MONTROSE COUNTY RE-1J,MONTROSE,26814951,17652957,568347,12744952,57781207, 4448 , 2928 , 94 , 2114 , 9584 
WEST END RE-2,MONTROSE,1652887,1892376,0,130095,3675358, 5306 , 6075 , 0 , 418 , 11799 
BRUSH RE-2J,MORGAN,7227887,4728194,0,7105098,19061178, 5060 , 3310 , 0 , 4975 , 13345 
FORT MORGAN RE-3,MORGAN,13787371,12221315,319995,9685653,36014333, 4611 , 4087 , 107 , 3239 , 12043 
WELDON VALLEY RE-20J,MORGAN,1429339,872574,23879,92926,2418718, 7143 , 4361 , 119 , 464 , 12088 
WIGGINS RE-50J,MORGAN,2659825,1916797,0,425065,5001688, 5349 , 3854 , 0 , 855 , 10058 
EAST OTERO R-1,OTERO,7172621,5065814,176609,1320546,13735590, 5391 , 3807 , 133 , 993 , 10324 
ROCKY FORD R-2,OTERO,4441660,3408219,28406,6000,7884286, 5378 , 4127 , 34 , 7 , 9546 
MANZANOLA 3J,OTERO,1088937,1284968,3064,37068,2414036, 6226 , 7347 , 18 , 212 , 13802 
FOWLER R-4J,OTERO,2436223,1405598,0,1551660,5393481, 5926 , 3419 , 0 , 3774 , 13120 
CHERAW 31,OTERO,1413383,1026490,63602,105184,2608659, 7102 , 5158 , 320 , 529 , 13109 
SWINK 33,OTERO,2104824,1482952,0,657561,4245336, 5837 , 4112 , 0 , 1824 , 11773 
OURAY R-1,OURAY,1748957,1083213,0,218071,3050241, 8161 , 5055 , 0 , 1018 , 14234 
RIDGWAY R-2,OURAY,2235403,1754259,4000,6523079,10516742, 6701 , 5259 , 12 , 19554 , 31525 
PLATTE CANYON 1,PARK,5358099,4559976,153334,931594,11003003, 4803 , 4088 , 137 , 835 , 9864 
PARK COUNTY RE-2,PARK,4183166,2808904,5306,25055432,32052809, 8040 , 5399 , 10 , 48156 , 61604 
HOLYOKE RE-1J,PHILLIPS,3489309,1859909,0,1988099,7337318, 5892 , 3141 , 0 , 3357 , 12390 
HAXTUN RE-2J,PHILLIPS,2033549,1081620,0,3200,3118370, 7007 , 3727 , 0 , 11 , 10746 
ASPEN 1,PITKIN,17564164,7016840,0,31442188,56023193, 10672 , 4263 , 0 , 19105 , 34040 
GRANADA RE-1,PROWERS,1682334,1311191,0,0,2993525, 7405 , 5771 , 0 , 0 , 13176 
LAMAR RE-2,PROWERS,7629648,4136047,132665,3510698,15409058, 4838 , 2623 , 84 , 2226 , 9772 
HOLLY RE-3,PROWERS,1633434,1095248,18551,6045034,8792267, 5990 , 4016 , 68 , 22167 , 32242 
WILEY RE-13 JT,PROWERS,1406653,911564,0,82893,2401110, 6199 , 4017 , 0 , 365 , 10582 
PUEBLO CITY 60,PUEBLO,82440918,67282294,289546,9587931,159600689, 4857 , 3964 , 17 , 565 , 9403 
PUEBLO COUNTY RURAL 70,PUEBLO,37190168,36419368,10196,21240879,94860611, 4335 , 4245 , 1 , 2476 , 11056 
MEEKER RE1,RIO BLANCO,3871834,2271884,0,2360736,8504454, 5977 , 3507 , 0 , 3644 , 13128 
RANGELY RE-4,RIO BLANCO,2819582,2379767,10843,2574334,7784526, 6209 , 5241 , 24 , 5669 , 17143 
DEL NORTE C-7,RIO GRANDE,2588572,2215081,0,529874,5333528, 4549 , 3893 , 0 , 931 , 9374 
MONTE VISTA C-8,RIO GRANDE,5180736,4023449,0,22807957,32012142, 4499 , 3494 , 0 , 19805 , 27798 
SARGENT RE-33J,RIO GRANDE,2359631,1973443,0,373713,4706788, 5028 , 4205 , 0 , 796 , 10029 
HAYDEN RE-1,ROUTT,3231868,2228233,0,70392,5530493, 8228 , 5673 , 0 , 179 , 14080 
STEAMBOAT SPRINGS RE-2,ROUTT,13241065,8594781,0,7231582,29067429, 5925 , 3846 , 0 , 3236 , 13007 
SOUTH ROUTT RE 3,ROUTT,2971748,2095397,0,915742,5982888, 7849 , 5535 , 0 , 2419 , 15803 
MOUNTAIN VALLEY RE 1,SAGUACHE,1055956,858845,6228,0,1921029, 9064 , 7372 , 53 , 0 , 16490 
MOFFAT 2,SAGUACHE,1632741,1305003,0,4475206,7412950, 8180 , 6538 , 0 , 22421 , 37139 
CENTER 26 JT,SAGUACHE,3882536,3307372,125738,20526553,27842199, 6693 , 5701 , 217 , 35385 , 47996 
SILVERTON 1,SAN JUAN,730805,409292,0,6181429,7321526, 10859 , 6082 , 0 , 91849 , 108789 
TELLURIDE R-1,SAN MIGUEL,5129801,3190128,247932,2253292,10821153, 7109 , 4421 , 344 , 3123 , 14996 
NORWOOD R-2J,SAN MIGUEL,2002888,1419245,0,295312,3717445, 7689 , 5448 , 0 , 1134 , 14270 
JULESBURG RE-1,SEDGWICK,4075313,1630503,0,111428,5817244, 4700 , 1881 , 0 , 129 , 6710 
PLATTE VALLEY RE-3,SEDGWICK,1202273,794366,0,0,1996639, 9665 , 6386 , 0 , 0 , 16050 
SUMMIT RE-1,SUMMIT,19002258,14664891,0,45548651,79215800, 6458 , 4984 , 0 , 15481 , 26923 
CRIPPLE CREEK-VICTOR RE-1,TELLER,3788195,1724578,0,1292359,6805131, 9217 , 4196 , 0 , 3144 , 16557 
WOODLAND PARK RE-2,TELLER,13553777,8298072,0,2039067,23890916, 5081 , 3111 , 0 , 764 , 8957 
AKRON R-1,WASHINGTON,2187495,1476667,0,17504052,21168214, 5915 , 3993 , 0 , 47334 , 57242 
ARICKAREE R-2,WASHINGTON,861951,871826,0,0,1733777, 8534 , 8632 , 0 , 0 , 17166 
OTIS R-3,WASHINGTON,1359455,945882,0,60970,2366307, 7281 , 5066 , 0 , 327 , 12674 
LONE STAR 101,WASHINGTON,1093754,579025,0,0,1672779, 10222 , 5411 , 0 , 0 , 15633 
WOODLIN R-104,WASHINGTON,807893,887833,0,0,1695726, 8522 , 9365 , 0 , 0 , 17887 
WELD RE-1,WELD,9019282,6744292,10479,263346,16037399, 4979 , 3723 , 6 , 145 , 8854 
EATON RE-2,WELD,8270163,5158925,3765,1863129,15295982, 4726 , 2948 , 2 , 1065 , 8741 
KEENESBURG RE-3J,WELD,10633504,8906912,5660,5160832,24706908, 4961 , 4156 , 3 , 2408 , 11528 
WINDSOR RE-4,WELD,20493490,14730715,254,8478417,43702876, 4748 , 3413 , 0 , 1964 , 10126 
JOHNSTOWN-MILIKEN RE-5J,WELD,15004367,8221519,0,10608726,33834613, 4878 , 2673 , 0 , 3449 , 11000 
GREELEY 6,WELD,92539792,62230656,0,15832408,170602855, 4901 , 3296 , 0 , 838 , 9035 
PLATTE VALLEY RE-7,WELD,6098358,5257553,0,2343028,13698939, 5523 , 4761 , 0 , 2122 , 12406 
WELD COUNTY S/D RE-8,WELD,11481392,10651369,21088,1013660,23167509, 5035 , 4671 , 9 , 445 , 10159 
AULT-HIGHLAND RE-9,WELD,4137867,3099750,0,763505,8001121, 4976 , 3728 , 0 , 918 , 9623 
BRIGGSDALE RE-10,WELD,1233274,981046,0,4309302,6523622, 8373 , 6660 , 0 , 29255 , 44288 
PRAIRIE RE-11,WELD,1274206,897036,0,901575,3072817, 7774 , 5473 , 0 , 5501 , 18748 
PAWNEE RE-12,WELD,1175964,845990,0,66448,2088402, 12327 , 8868 , 0 , 697 , 21891 
YUMA 1,YUMA,4593836,3283200,659,3774114,11651810, 5868 , 4194 , 1 , 4821 , 14883 
WRAY RD-2,YUMA,3735725,2942154,0,994744,7672623, 5572 , 4389 , 0 , 1484 , 11445 
IDALIA RJ-3,YUMA,1115415,829568,0,1113957,3058941, 8124 , 6042 , 0 , 8113 , 22279 
LIBERTY J-4,YUMA,1033616,704354,0,0,1737970, 12605 , 8590 , 0 , 0 , 21195 
