district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil
WILEY RE-13 JT,PROWERS,"1,479,268","957,908",0,"112,259","2,549,435"," 6,187 "," 4,006 ", 0 , 470 ," 10,663 "
MEEKER RE1,RIO BLANCO,"3,967,881","2,309,039",0,"4,396,641","10,673,562"," 6,215 "," 3,617 ", 0 ," 6,887 "," 16,719 "
RANGELY RE-4,RIO BLANCO,"2,677,607","2,222,903","11,921","2,592,929","7,505,359"," 5,895 "," 4,894 ", 26 ," 5,709 "," 16,524 "
DEL NORTE C-7,RIO GRANDE,"2,900,869","2,686,653",0,"521,534","6,109,055"," 4,931 "," 4,567 ", 0 , 887 ," 10,384 "
SARGENT RE-33J,RIO GRANDE,"2,478,134","1,830,180",0,"546,216","4,854,530"," 5,193 "," 3,835 ", 0 ," 1,145 "," 10,173 "
HAYDEN RE-1,ROUTT,"3,217,576","1,934,030",0,"69,938","5,221,544"," 7,906 "," 4,752 ", 0 , 172 ," 12,829 "
SOUTH ROUTT RE 3,ROUTT,"2,778,813","2,031,707",0,"892,380","5,702,900"," 7,143 "," 5,223 ", 0 ," 2,294 "," 14,660 "
MOUNTAIN VALLEY RE 1,SAGUACHE,"1,193,134","857,468",0,0,"2,050,602"," 9,984 "," 7,175 ", 0 , 0 ," 17,160 "
MOFFAT 2,SAGUACHE,"1,520,156","1,613,297",0,"1,089,208","4,222,662"," 7,537 "," 7,998 ", 0 ," 5,400 "," 20,935 "
CENTER 26 JT,SAGUACHE,"3,834,029","3,348,584","215,446","3,093,428","10,491,487"," 6,748 "," 5,893 ", 379 ," 5,444 "," 18,464 "
SILVERTON 1,SAN JUAN,"702,843","419,046",0,"4,765,361","5,887,250"," 10,665 "," 6,359 ", 0 ," 72,312 "," 89,336 "
TELLURIDE R-1,SAN MIGUEL,"5,146,839","3,340,212","321,088","2,573,616","11,381,755"," 7,588 "," 4,924 ", 473 ," 3,794 "," 16,780 "
NORWOOD R-2J,SAN MIGUEL,"2,072,837","1,355,292",0,"311,400","3,739,529"," 7,924 "," 5,181 ", 0 ," 1,190 "," 14,295 "
PLATTE VALLEY RE-3,SEDGWICK,"1,035,526","834,773",0,"71,506","1,941,806"," 8,488 "," 6,842 ", 0 , 586 ," 15,916 "
CRIPPLE CREEK-VICTOR RE-1,TELLER,"3,872,214","1,639,754","2,200","1,516,527","7,030,695"," 8,759 "," 3,709 ", 5 ," 3,430 "," 15,903 "
AKRON R-1,WASHINGTON,"2,321,235","1,486,578",0,"3,074,305","6,882,118"," 5,986 "," 3,833 ", 0 ," 7,928 "," 17,747 "
ARICKAREE R-2,WASHINGTON,"793,381","768,126",0,726,"1,562,233"," 7,771 "," 7,523 ", 0 , 7 ," 15,301 "
OTIS R-3,WASHINGTON,"1,560,767","1,042,664",0,"66,337","2,669,767"," 8,029 "," 5,363 ", 0 , 341 ," 13,733 "
LONE STAR 101,WASHINGTON,"1,030,431","517,597",0,0,"1,548,028"," 9,666 "," 4,856 ", 0 , 0 ," 14,522 "
WOODLIN R-104,WASHINGTON,"807,727","1,051,526",0,699,"1,859,952"," 8,021 "," 10,442 ", 0 , 7 ," 18,470 "
AULT-HIGHLAND RE-9,WELD,"4,103,157","3,147,154",0,"620,565","7,870,876"," 4,858 "," 3,726 ", 0 , 735 ," 9,319 "
