district_name,est_child_poverty,est_total_child,est_total_pop,year,child_pov_ratio,child_adult_ratio
Buffalo School District RE-4,28,191,1000,2010,0.14659685863874344,0.191
Miami-Yoder School District 60-JT,126,428,2210,2010,0.29439252336448596,0.19366515837104073
Moffat Consolidated School District 2,67,183,1576,2010,0.366120218579235,0.11611675126903553
Moffat County School District RE-1,341,2661,13818,2010,0.12814731304021046,0.19257490230134608
Monte Vista School District C-8,344,1269,6484,2010,0.2710795902285264,0.19571252313386797
Montrose County School District RE-1J,1423,7025,38637,2010,0.20256227758007117,0.1818205347206046
Lewis-Palmer School District 38,386,6687,28982,2010,0.05772394197697024,0.2307294182596094
West End School District RE-2,55,377,2118,2010,0.14588859416445624,0.17799811142587346
Norwood School District R-2J,52,299,1983,2010,0.17391304347826086,0.1507816439737771
South Routt School District RE-3,22,511,3156,2010,0.043052837573385516,0.16191381495564006
Otis School District R-3,22,145,874,2010,0.15172413793103448,0.16590389016018306
Ouray School District R-1,42,266,1701,2010,0.15789473684210525,0.15637860082304528
Platte Valley School District RE-3,34,122,828,2010,0.2786885245901639,0.1473429951690821
Plateau School District RE-5,10,102,533,2010,0.09803921568627451,0.19136960600375236
Peyton School District 23-JT,186,888,4063,2010,0.20945945945945946,0.21855771597341866
Pritchett School District RE-3,14,50,304,2010,0.28,0.16447368421052633
Pueblo City School District 60,5319,18583,108830,2010,0.2862293494053705,0.1707525498483874
Pueblo County School District 70,1361,9815,50362,2010,0.13866530820173203,0.19488900361383582
Rangely School District RE-4,52,442,2781,2010,0.11764705882352941,0.15893563466379002
Ridgway School District R-2,39,317,2401,2010,0.12302839116719243,0.1320283215326947
Garfield School District RE-2,515,5194,24898,2010,0.09915286869464766,0.20861113342437143
Rocky Ford School District R-2,329,986,5507,2010,0.33367139959432046,0.17904485200653714
Mountain Valley School District RE-1,51,163,1369,2010,0.3128834355828221,0.11906501095690285
Salida School District R-32,224,1219,9292,2010,0.1837571780147662,0.1311881188118812
Centennial School District R-1,112,290,1892,2010,0.38620689655172413,0.15327695560253699
Sanford School District 6J,57,305,1371,2010,0.18688524590163935,0.2224653537563822
Sangre de Cristo School District RE-22J,67,267,1234,2010,0.250936329588015,0.21636952998379255
Sargent School District RE-33J,49,217,1049,2010,0.22580645161290322,0.20686367969494757
Widefield School District 3,1465,9647,46279,2010,0.15186068207732975,0.20845307806996694
Hi-Plains School District R-23,29,90,570,2010,0.32222222222222224,0.15789473684210525
Sheridan School District 2,403,1439,8071,2010,0.28005559416261294,0.1782926527072234
Silverton School District 1,21,96,710,2010,0.21875,0.1352112676056338
Big Sandy School District 100J,56,366,1852,2010,0.15300546448087432,0.1976241900647948
Springfield School District RE-4,88,311,2002,2010,0.2829581993569132,0.15534465534465536
Steamboat Springs School District RE-2,263,2578,17406,2010,0.10201706749418153,0.14810984717913364
Valley School District RE-1,534,2888,20270,2010,0.18490304709141275,0.14247656635421804
Prairie School District RE-11,22,77,395,2010,0.2857142857142857,0.1949367088607595
Strasburg School District 31J,64,1082,4820,2010,0.059149722735674676,0.22448132780082988
Stratton School District R-4,38,229,1126,2010,0.16593886462882096,0.2033747779751332
Summit School District RE-1,385,3363,27939,2010,0.11448111804936069,0.12036937614087834
Swink School District 33,43,253,1244,2010,0.16996047430830039,0.20337620578778134
Telluride School District R-1,96,788,5865,2010,0.1218274111675127,0.13435635123614664
Northglenn-Thornton School District 12,4446,41735,210785,2010,0.10652929196118366,0.19799796000664183
Plainview School District RE-2,17,74,295,2010,0.22972972972972974,0.25084745762711863
Trinidad School District 1,382,1687,10441,2010,0.22643746295198577,0.16157456182358013
Vilas School District RE-5,10,45,239,2010,0.2222222222222222,0.18828451882845187
North Park School District R-1,49,199,1390,2010,0.24623115577889448,0.14316546762589927
Huerfano School District RE-1,240,744,5368,2010,0.3225806451612903,0.13859910581222057
Walsh School District RE-1,24,160,996,2010,0.15,0.1606425702811245
Weldon Valley School District RE-20J,13,160,871,2010,0.08125,0.18369690011481057
Custer County School District C-1,132,544,3930,2010,0.2426470588235294,0.13842239185750635
Westminster School District 50,2845,12742,70626,2010,0.22327735049442787,0.18041514456432475
Primero Reorganized School District 2,16,125,1147,2010,0.128,0.10897994768962511
Wiggins School District RE-50J,66,533,2526,2010,0.12382739212007504,0.2110055423594616
Wiley School District RE-13-JT,39,193,965,2010,0.20207253886010362,0.2
Windsor School District RE-4,353,4595,21633,2010,0.07682263329706203,0.21240697083159987
Woodland Park School District RE-2,351,3124,18629,2010,0.11235595390524968,0.1676955284771056
Woodlin School District R-104,24,90,398,2010,0.26666666666666666,0.22613065326633167
Cheyenne County School District RE-5,47,243,1383,2011,0.1934156378600823,0.175704989154013
Yuma School District 1,203,988,5046,2011,0.2054655870445344,0.19579865239793895
Wray School District RD-2,123,736,3980,2011,0.1671195652173913,0.1849246231155779
Idalia School District RJ-3,14,93,505,2011,0.15053763440860216,0.18415841584158416
Liberty School District J-4,7,70,509,2011,0.1,0.137524557956778
Academy School District 20,1279,21821,100026,2011,0.05861326245359974,0.21815328014716173
Adams County School District 14,2629,8419,37274,2011,0.31226986577978383,0.22586789719375436
Agate School District 300,15,105,666,2011,0.14285714285714285,0.15765765765765766
Aguilar Reorganized School District 6,51,157,1136,2011,0.3248407643312102,0.1382042253521127
Akron School District R-1,64,378,2431,2011,0.1693121693121693,0.15549156725627314
Alamosa School District RE-11J,711,2338,14564,2011,0.3041060735671514,0.16053282065366659
South Conejos School District RE-10,123,370,2251,2011,0.3324324324324324,0.16437139049311417
Archuleta County School District 50-JT,400,1659,11458,2011,0.24110910186859555,0.14478966660848316
Arickaree School District R-2,15,112,623,2011,0.13392857142857142,0.1797752808988764
Arriba-Flagler School District C-20,45,159,1127,2011,0.2830188679245283,0.14108251996450755
Aspen School District 1,104,1646,12980,2011,0.06318347509113001,0.1268104776579353
Ault-Highland School District RE-9,140,1107,5716,2011,0.12646793134598014,0.19366689993002098
Adams-Arapahoe School District 28J,10363,39893,211048,2011,0.25976988444087934,0.18902335013835714
Platte Canyon School District 1,136,1419,9177,2011,0.09584214235377025,0.15462569467146126
Bayfield School District R-10-JT,125,1455,8552,2011,0.0859106529209622,0.1701356407857811
Bennett School District 29-J,176,1308,6342,2011,0.1345565749235474,0.20624408703878902
Bethune School District R-5,34,123,526,2011,0.2764227642276423,0.2338403041825095
Boulder Valley School District RE-2,2980,30171,215833,2011,0.09877034238175732,0.13978863287819748
Branson Reorganized School District 82,10,32,168,2011,0.3125,0.19047619047619047
Briggsdale School District RE-10,16,120,629,2011,0.13333333333333333,0.1907790143084261
Brighton School District 27J,2037,16677,79266,2011,0.1221442705522576,0.21039285443948225
Brush School District RE-2J,240,1518,8118,2011,0.15810276679841898,0.18699186991869918
Buena Vista School District R-31,153,984,8719,2011,0.15548780487804878,0.11285697901135451
Burlington School District RE-6J,148,762,5109,2011,0.1942257217847769,0.1491485613623018
Byers School District 32J,91,520,2524,2011,0.175,0.20602218700475436
Calhan School District RJ-1,88,635,3065,2011,0.13858267716535433,0.20717781402936378
Campo School District RE-6,6,33,254,2011,0.18181818181818182,0.12992125984251968
Cañon City School District RE-1,882,3937,27908,2011,0.22402844805689612,0.14107066074243946
Center School District 26-JT,260,663,3353,2011,0.39215686274509803,0.19773337309871758
Cheraw School District 31,34,136,746,2011,0.25,0.18230563002680966
Cherry Creek School District 5,5047,54786,279686,2011,0.0921220749826598,0.19588395557875618
Cheyenne Mountain School District 12,225,3754,21843,2011,0.05993606819392648,0.17186283935356864
Clear Creek School District RE-1,136,1086,9012,2011,0.1252302025782689,0.12050599201065246
Plateau Valley School District 50,80,398,2578,2011,0.20100502512562815,0.15438324282389448
Colorado Springs School District 11,6918,35248,232563,2011,0.19626645483431684,0.15156323232844435
